Borough,PC1,PC2,Total_Crime_2023,Violence_2023,Population,House_Price_2023,Total_Crime_Rate,Violence_Rate
Barking and Dagenham,-1.8945627589731704,-0.9571637599558084,21046,7012,222308,346955,94.67045720351943,31.541824855605736
Barnet,-2.085203662517134,-1.256650475091526,28205,7966,395007,623843,71.40379790737886,20.166731222484668
Bexley,-1.887901224483244,-1.279710088538851,16543,5853,250853,399864,65.94698887396204,23.332389885709958
Brent,-1.379372794405204,0.407714486270658,31483,9676,344521,559168,91.3819476896909,28.085370703092117
Bromley,-2.045732963237181,-1.3377270352690709,23469,6935,331162,507577,70.86863830995102,20.941412360113784
Camden,3.9073651131741154,3.721629036842116,39812,7616,220903,846942,180.22389917746705,34.476670755942656
Croydon,-1.9795184056745383,-1.0197233594821271,33437,11088,397741,408826,84.06726990679866,27.877437830145748
Ealing,-1.2448774155334783,0.500636760660433,31481,10076,375340,564822,83.87328821868174,26.844993872222517
Enfield,-1.8526285527760475,-1.3343361304447676,29470,9168,327429,466647,90.00424519514154,27.99996335083331
Greenwich,-0.6838499940992698,-0.4463966259849465,27912,9252,294113,457826,94.9022994563314,31.457297025293
Hackney,4.580655083616537,7.144648034385277,31732,8564,263282,613641,120.52476052293738,32.527859861289414
Hammersmith and Fulham,-0.4805661759964143,1.260338150538148,21785,5727,186176,857740,117.01293399793744,30.761215194224818
Haringey,0.7858684525818082,1.7486040465054349,29844,7892,262895,624855,113.52060708647939,30.01958956998041
Harrow,-2.25155316595909,-1.5137031277524438,15446,4722,263448,523028,58.63016610488597,17.923840757948437
Havering,-2.359363605067338,-1.640538859107727,21058,6524,268145,424336,78.53213746293983,24.330119897816477
Hillingdon,-1.945576169501807,-1.709646485828224,24178,7602,319018,462329,75.78882696274192,23.82937639882389
Hounslow,-1.789517510735014,-1.0732130338156132,27192,8791,295706,516439,91.95619973892988,29.72885230600664
Islington,0.8637862496561208,1.1644090095402988,28573,7063,220584,694025,129.53342037500454,32.01954810865702
Kensington and Chelsea,0.599996884690477,0.9943211575971188,22768,4496,147460,1476107,154.40119354401193,30.489624304896243
Kingston upon Thames,-2.208750928519355,-1.6526575312542864,12085,3321,170454,584057,70.89889354312601,19.48326234643951
Lambeth,0.5059830823416134,1.085394012974715,35433,9651,315706,580491,112.2341672315382,30.569580559127797
Lewisham,-0.3688409013595954,0.6307248953774254,29581,9520,298708,471261,99.02982176573778,31.870589338082677
Merton,-1.2479927150953336,-1.102174817090244,14024,4452,215219,605562,65.16153313601494,20.68590598413709
Newham,-1.2565985675571696,-0.4538693209593568,37507,10256,362552,423232,103.4527460888369,28.288355877225886
Redbridge,-2.240413276320496,-1.5324030936230952,24244,7837,313392,464636,77.35998366263338,25.00701996221984
Richmond upon Thames,-1.2950186693554206,-1.3246216665352164,12049,2963,195513,790455,61.62761555497588,15.15500248065346
Southwark,1.6605560704529565,3.4877652757365984,37175,8894,315519,578826,117.8217476602043,28.18847676368143
Sutton,-2.231361821973288,-1.1116016793178978,13133,4451,211123,439402,62.205444219720256,21.082496933067453
Tower Hamlets,1.431820149271888,2.498510260646908,35959,10164,328626,506483,109.42226117227487,30.92877617717405
Waltham Forest,-0.7651660539506115,0.8536432427228898,22925,6519,275980,502304,83.06761359518806,23.621276904123487
Wandsworth,-1.595638984389978,-0.6109740154218695,26575,7370,331456,713404,80.17655435412242,22.23522880865032
Westminster,4.847228717899533,1.8713242546727689,89758,11323,211508,1148411,424.37165497286156,53.53461807591202
