Borough,House_Price_2023
City of London,883595
Barking and Dagenham,346955
Barnet,623843
Bexley,399864
Brent,559168
Bromley,507577
Camden,846942
Croydon,408826
Ealing,564822
Enfield,466647
Greenwich,457826
Hackney,613641
Hammersmith and Fulham,857740
Haringey,624855
Harrow,523028
Havering,424336
Hillingdon,462329
Hounslow,516439
Islington,694025
Kensington and Chelsea,1476107
Kingston upon Thames,584057
Lambeth,580491
Lewisham,471261
Merton,605562
Newham,423232
Redbridge,464636
Richmond upon Thames,790455
Southwark,578826
Sutton,439402
Tower Hamlets,506483
Waltham Forest,502304
Wandsworth,713404
Westminster,1148411
