Borough,PC1,PC2
Barking and Dagenham,-1.8945627589731702,-0.9571637599558084
Barnet,-2.085203662517134,-1.256650475091526
Bexley,-1.8879012244832436,-1.279710088538851
Brent,-1.3793727944052039,0.40771448627065804
Bromley,-2.0457329632371812,-1.3377270352690707
Camden,3.9073651131741154,3.7216290368421157
City of London,17.906746513795127,-6.012551518997715
Croydon,-1.9795184056745383,-1.0197233594821273
Ealing,-1.2448774155334783,0.500636760660433
Enfield,-1.8526285527760473,-1.3343361304447676
Greenwich,-0.6838499940992698,-0.44639662598494656
Hackney,4.580655083616537,7.144648034385277
Hammersmith and Fulham,-0.4805661759964143,1.2603381505381481
Haringey,0.7858684525818082,1.7486040465054347
Harrow,-2.25155316595909,-1.5137031277524438
Havering,-2.359363605067338,-1.640538859107727
Hillingdon,-1.945576169501807,-1.7096464858282239
Hounslow,-1.789517510735014,-1.0732130338156132
Islington,0.8637862496561208,1.1644090095402988
Kensington and Chelsea,0.599996884690477,0.9943211575971189
Kingston upon Thames,-2.208750928519355,-1.6526575312542864
Lambeth,0.5059830823416134,1.085394012974715
Lewisham,-0.36884090135959546,0.6307248953774254
Merton,-1.2479927150953336,-1.1021748170902441
Newham,-1.2565985675571696,-0.4538693209593568
Redbridge,-2.240413276320496,-1.5324030936230952
Richmond upon Thames,-1.2950186693554206,-1.3246216665352164
Southwark,1.6605560704529563,3.4877652757365984
Sutton,-2.2313618219732874,-1.1116016793178978
Tower Hamlets,1.431820149271888,2.498510260646908
Waltham Forest,-0.7651660539506115,0.8536432427228898
Wandsworth,-1.595638984389978,-0.6109740154218695
Westminster,4.847228717899533,1.8713242546727686
