Borough,Population
Camden,220903
City of London,13462
Hackney,263282
Hammersmith and Fulham,186176
Haringey,262895
Islington,220584
Kensington and Chelsea,147460
Lambeth,315706
Lewisham,298708
Newham,362552
Southwark,315519
Tower Hamlets,328626
Wandsworth,331456
Westminster,211508
Barking and Dagenham,222308
Barnet,395007
Bexley,250853
Brent,344521
Bromley,331162
Croydon,397741
Ealing,375340
Enfield,327429
Greenwich,294113
Harrow,263448
Havering,268145
Hillingdon,319018
Hounslow,295706
Kingston upon Thames,170454
Merton,215219
Redbridge,313392
Richmond upon Thames,195513
Sutton,211123
Waltham Forest,275980
