Borough,Total_Crime_2023,Violence_2023
Barking and Dagenham,21046,7012
Barnet,28205,7966
Bexley,16543,5853
Brent,31483,9676
Bromley,23469,6935
Camden,39812,7616
Croydon,33437,11088
Ealing,31481,10076
Enfield,29470,9168
Greenwich,27912,9252
Hackney,31732,8564
Hammersmith and Fulham,21785,5727
Haringey,29844,7892
Harrow,15446,4722
Havering,21058,6524
Hillingdon,24178,7602
Hounslow,27192,8791
Islington,28573,7063
Kensington and Chelsea,22768,4496
Kingston upon Thames,12085,3321
Lambeth,35433,9651
Lewisham,29581,9520
London Heathrow And London City Airports,3677,664
Merton,14024,4452
Newham,37507,10256
Redbridge,24244,7837
Richmond upon Thames,12049,2963
Southwark,37175,8894
Sutton,13133,4451
Tower Hamlets,35959,10164
Unknown,31228,8006
Waltham Forest,22925,6519
Wandsworth,26575,7370
Westminster,89758,11323
