Borough,Music_Nightclubs,Music_Grassroots,Music_Others,Museums_and_Public_Galleries,Commercial_Galleries,Arts_Centres,Libraries,Archives,Cinemas,LGBT_Venues,Dance_Performance_Venues,Artist_Workspaces,Creative_Coworking_Desk_Spaces,Creative_Workspaces,Fashion_and_Design,Textile_Design,Jewellery_Design,Makerspaces,Making_and_Manufacturing,Music_Recording_Studios,Music_Rehearsal_Studios,Theatre_Rehearsal_Studios,Dance_Rehearsal_Studios,Prop_and_Costume_Making,Set_and_Exhibition_Building
Barking and Dagenham,0,0,1,1,0,0,6,0,1,0,3,3,0,5,2,1,0,1,1,0,1,2,1,0,0
Barnet,0,0,1,4,0,1,16,8,3,0,2,2,1,1,0,0,1,1,1,0,1,2,5,3,0
Bexley,0,0,0,4,0,0,12,1,1,0,0,2,0,1,1,0,0,0,1,1,3,2,0,0,3
Brent,0,2,2,2,0,1,9,1,3,0,2,8,1,1,4,1,2,4,1,10,1,2,5,7,5
Bromley,1,0,2,6,0,0,13,0,3,0,2,1,0,0,0,0,1,0,1,0,1,0,7,3,2
Camden,9,25,8,33,28,1,12,89,14,6,25,6,4,8,1,2,58,4,4,10,8,30,26,1,2
City of London,4,1,6,10,5,1,4,48,2,0,4,1,1,2,1,0,0,0,1,0,0,3,5,0,1
Croydon,0,3,3,1,0,1,14,2,3,0,4,5,1,0,0,0,0,1,1,1,3,1,4,2,1
Ealing,3,1,1,1,2,0,13,3,1,1,3,7,0,5,1,1,0,0,9,12,5,3,5,8,3
Enfield,1,0,0,0,0,1,17,2,2,0,3,1,1,1,6,2,1,1,0,0,0,2,2,0,0
Greenwich,2,2,6,9,1,1,14,3,4,2,6,10,1,3,2,0,0,5,7,2,1,6,8,3,3
Hackney,31,28,21,7,15,1,9,10,5,5,11,44,14,31,6,8,8,11,5,9,14,19,21,5,3
Hammersmith and Fulham,1,2,3,4,1,2,6,13,4,1,4,7,3,1,0,2,1,4,1,1,3,7,5,4,1
Haringey,2,4,5,3,1,2,9,6,5,0,5,9,4,12,17,4,0,3,4,13,5,7,6,2,3
Harrow,0,1,1,4,0,1,7,4,1,0,2,2,0,1,0,0,1,0,0,1,0,0,2,0,0
Havering,0,0,0,1,0,0,10,0,1,0,2,0,0,1,0,0,2,0,0,0,0,1,2,0,0
Hillingdon,0,0,0,1,0,0,17,7,2,0,4,1,0,0,1,0,0,0,2,0,0,3,5,1,2
Hounslow,1,1,0,9,2,2,11,7,3,0,2,5,1,0,0,0,0,0,1,3,2,3,3,1,0
Islington,11,12,9,12,8,0,10,35,3,3,12,5,4,6,1,2,4,0,0,2,5,22,21,4,1
Kensington and Chelsea,3,4,2,14,29,1,7,19,7,0,3,5,1,3,1,2,2,2,1,5,1,4,3,2,3
Kingston upon Thames,1,1,1,3,0,0,7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0
Lambeth,10,9,15,14,12,2,9,27,7,8,11,17,6,10,2,2,1,8,2,7,2,17,16,1,1
Lewisham,2,6,7,7,5,1,12,8,2,1,5,26,1,6,4,2,4,1,4,4,3,7,6,4,4
Merton,1,0,1,3,1,0,7,5,2,1,2,3,2,2,2,0,2,0,1,2,1,2,5,1,5
Newham,2,0,2,2,0,0,10,7,2,0,3,12,2,5,5,3,3,2,3,2,2,2,6,1,6
Redbridge,0,0,0,2,0,1,13,1,2,0,1,2,0,0,0,1,0,0,0,0,0,2,2,0,0
Richmond upon Thames,1,0,3,10,2,2,13,4,3,0,3,0,0,0,0,0,2,1,1,1,2,2,6,1,1
Southwark,8,3,3,16,19,0,12,35,7,1,15,30,8,9,3,5,6,16,11,7,5,22,21,9,6
Sutton,1,2,0,2,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,3,0,0
Tower Hamlets,12,10,10,15,26,2,8,26,6,2,12,30,8,21,12,5,4,7,4,8,5,14,14,5,2
Waltham Forest,0,1,1,6,0,0,10,2,0,0,2,14,5,6,5,5,1,5,4,2,1,2,4,2,2
Wandsworth,1,5,2,1,11,1,11,13,3,0,4,4,1,0,1,0,3,2,1,1,5,6,9,1,0
Westminster,25,9,22,46,132,1,11,157,20,19,37,6,6,4,2,2,10,2,0,9,4,22,22,1,0
